섹션,계정명,NICE계정코드,볼드표시,2019.12.31 (K-IFRS),2020.12.31 (K-IFRS),2021.12.31 (K-IFRS),2022.12.31 (K-IFRS),2023.12.31 (K-IFRS),2024.12.31 (K-IFRS),2025.12.31 (K-IFRS)
재무상태표(BS),유동자산,512000,Y,"144,576","165,710","269,071","287,333","304,681","422,789","694,581"
재무상태표(BS),현금성자산,511100,N,"39,947","49,482","86,725","64,090","89,209","141,564","349,423"
재무상태표(BS),매출채권,511150,N,"42,617","49,313","82,671","51,861","66,003","130,190","181,991"
재무상태표(BS),재고자산,511400,N,"52,958","61,363","89,501","156,647","134,807","133,139","142,894"
재무상태표(BS),선급금,511410,N,644,510,731,566,511,629,733
재무상태표(BS),단기대여금,511170,N,68,50,111,143,162,135,"1,176"
재무상태표(BS),기타유동자산,511171,N,"8,341","4,990","9,332","14,027","13,990","17,132","18,364"
재무상태표(BS),비유동자산,514000,Y,"507,907","546,029","694,395","751,382","698,621","775,763","1,066,496"
재무상태표(BS),주요투자자산,513000,N,"51,509","73,062","81,405","70,871","54,736","60,941","158,709"
재무상태표(BS),장기투자자산,512120,N,"43,821","61,399","67,301","57,342","41,062","41,535","145,499"
재무상태표(BS),종속/관계회사투자,512147,N,"7,688","11,662","14,104","13,528","13,673","19,407","13,209"
재무상태표(BS),유형자산,513200,N,"416,566","429,382","548,230","620,085","553,997","626,443","798,392"
재무상태표(BS),토지,513110,N,"10,418","9,716","11,456","12,192","12,080","12,059","16,859"
재무상태표(BS),건물/구축물,513120,N,"71,668","88,304","107,075","127,351","134,215","136,821","138,556"
재무상태표(BS),기계장치,513140,N,"269,743","264,910","340,903","389,418","314,715","336,741","395,602"
재무상태표(BS),건설중인자산,513199,N,"39,600","41,722","65,030","65,720","60,188","111,072","217,437"
재무상태표(BS),투자부동산,513500,N,3,"2,094","1,642",2,2,2,2
재무상태표(BS),무형자산,513400,N,"25,710","34,003","47,972","35,121","38,346","40,188","40,494"
재무상태표(BS),기타비유동자산,514900,N,"14,120","7,488","15,145","25,303","51,540","48,188","68,900"
재무상태표(BS),자산총계,515000,Y,"652,484","711,739","963,465","1,038,715","1,003,302","1,198,552","1,761,077"
재무상태표(BS),유동부채,516000,Y,"79,620","90,724","147,354","198,437","210,078","249,654","373,790"
재무상태표(BS),매입채무,515110,N,"10,425","10,462","13,592","21,862","18,455","22,773","28,485"
재무상태표(BS),단기차입금 등,515130,N,"11,684","1,796","2,332","38,333","41,456","12,835","23,958"
재무상태표(BS),유동성장기부채,515190,N,"18,626","32,821","29,496","38,709","63,430","45,571","63,133"
재무상태표(BS),미지급금,515140,N,"24,439","29,856","76,095","61,419","33,372","100,510","134,580"
재무상태표(BS),선수금 등,515150,N,969,"1,094","1,476","3,641","16,426","5,836","5,335"
재무상태표(BS),기타유동부채,515160,N,"13,477","14,695","24,363","34,474","36,938","62,129","118,301"
재무상태표(BS),비유동부채,517000,Y,"93,505","101,924","194,201","207,373","258,186","209,741","180,619"
재무상태표(BS),사채,516050,N,"27,454","36,104","72,140","64,978","94,904","124,094","112,064"
재무상태표(BS),장기차입금 등,516200,N,"64,142","58,232","87,528","105,898","125,194","72,021","48,424"
재무상태표(BS),기타비유동부채,516210,N,"1,909","7,587","34,533","36,497","38,088","13,625","20,131"
재무상태표(BS),부채총계,518000,Y,"173,125","192,648","341,555","405,810","468,264","459,395","554,409"
재무상태표(BS),지배주주지분,518050,Y,"479,211","518,885","621,571","632,664","535,043","739,034","1,205,162"
재무상태표(BS),자본금,518100,N,"36,577","36,577","36,577","36,577","36,577","36,577","36,577"
재무상태표(BS),이익잉여금,518300,N,"429,234","469,957","557,841","566,853","467,293","654,181","1,065,765"
재무상태표(BS),기타자본항목,518400,N,"13,401","12,352","27,154","29,234","31,173","48,277","102,820"
재무상태표(BS),비지배주주지분,518450,N,148,206,340,242,-5,123,"1,506"
재무상태표(BS),자본총계,518900,Y,"479,359","519,091","621,911","632,905","535,038","739,157","1,206,668"
재무상태표(BS),부채와자본총계,519000,N,"652,484","711,739","963,465","1,038,715","1,003,302","1,198,552","1,761,077"
재무상태표(BS),운전자금,519150,N,"85,150","100,215","158,580","186,645","182,354","240,556","296,400"
재무상태표(BS),총차입금,519100,N,"121,905","128,954","191,496","247,917","324,985","254,521","247,578"
재무상태표(BS),순차입금,519130,N,"81,958","79,471","104,770","183,827","235,776","112,957","-101,844"
재무상태표(BS),단기성차입금,519120,N,"30,309","34,617","31,828","77,041","104,887","58,406","87,091"
재무상태표(BS),매출채권할인잔액,511158,N,-,-,-,-,-,-,-
재무상태표(BS),지급보증제공액,519200,N,-,-,-,-,-,-,-
재무상태표(BS),부채비율(%),291010,N,36.1,37.1,54.9,64.1,87.5,62.2,45.9
재무상태표(BS),유동비율(%),291005,N,181.6,182.7,182.6,144.8,145.0,169.3,185.8
재무상태표(BS),총차입금의존도(%),291020,N,18.7,18.1,19.9,23.9,32.4,21.2,14.1
재무상태표(BS),순차입금의존도(%),291025,N,12.6,11.2,10.9,17.7,23.5,9.4,-5.8
재무상태표(BS),총차입금/자기자본(%),291027,N,25.4,24.8,30.8,39.2,60.7,34.4,20.5
재무상태표(BS),총차입금/EBITDA(배),291030,N,1.1,0.9,0.8,1.2,5.5,0.7,0.4
재무상태표(BS),순차입금/EBITDA(배),291032,N,0.7,0.5,0.5,0.9,4.0,0.3,-0.2
재무상태표(BS),단기성차입금/총차입금(%),291040,N,24.9,26.8,16.6,31.1,32.3,22.9,35.2
재무상태표(BS),현금성자산/단기성차입금(%),291050,N,131.8,142.9,272.5,83.2,85.1,242.4,401.2
재무상태표(BS),매출채권회전기간(일),291061,N,71.5,52.6,56.0,55.0,65.6,54.1,58.6
재무상태표(BS),재고자산회전기간(일),291071,N,65.7,65.4,64.0,100.7,162.3,73.9,51.9
재무상태표(BS),매입채무회전기간(일),291081,N,14.5,11.9,10.2,14.5,22.5,11.4,9.6
재무상태표(BS),운전자금회전기간(일),291083,N,122.8,106.0,109.8,141.2,205.5,116.6,100.9
손익계산서(IS),매출액,521000,Y,"269,907","319,004","429,978","446,216","327,657","661,930","971,467"
손익계산서(IS),매출원가,522000,N,"188,188","210,898","240,456","289,937","332,992","343,648","384,559"
손익계산서(IS),매출총이익,523000,Y,"81,719","108,106","189,522","156,279","-5,334","318,281","586,908"
손익계산서(IS),판매관리비,524000,N,"54,527","57,980","65,419","88,184","71,969","83,608","114,845"
손익계산서(IS),인건비,524110,N,"6,920","7,934","10,108","13,614","10,855","15,338","21,857"
손익계산서(IS),일반관리비,524120,N,"9,609","8,799","9,154","16,190","12,802","12,898","14,406"
손익계산서(IS),판매비,524130,N,"1,330","1,438","2,585","6,174","4,017","4,429","5,053"
손익계산서(IS),연구개발비,524410,N,"28,556","31,113","35,512","44,746","37,507","44,363","64,656"
손익계산서(IS),기타판매관리비,524420,N,"8,111","8,696","8,059","7,462","6,789","6,580","8,873"
손익계산서(IS),발표영업이익,524900,Y,"27,192","50,126","124,103","68,094","-77,303","234,673","472,063"
손익계산서(IS),EBIT(조정영업이익),525000,Y,"27,192","50,126","124,103","68,094","-77,303","234,673","472,063"
손익계산서(IS),영업외수익,525100,Y,"13,607","34,521","26,750","40,974","29,236","63,684","167,668"
손익계산서(IS),이자수익,525101,N,301,279,224,896,"2,164","3,448","4,943"
손익계산서(IS),투자증권관련이익,525161,N,140,"17,436","5,352",0,-,-,"122,000"
손익계산서(IS),유무형자산 등 관련이익,525165,N,262,386,717,"1,375","5,734",701,987
손익계산서(IS),외환관련이익,525162,N,"11,431","15,276","16,933","34,869","19,035","42,210","27,380"
손익계산서(IS),종속/관계회사투자 관련이익,525127,N,249,395,"1,814","1,417",380,368,601
손익계산서(IS),파생상품관련이익,525134,N,-,-,345,0,-,-,4
손익계산서(IS),기타영업외수익,525150,N,"1,225",750,"1,366","2,417","1,923","16,957","11,753"
손익계산서(IS),영업외비용,526000,Y,"16,473","22,277","16,694","69,040","68,511","59,504","135,076"
손익계산서(IS),금융비용,526110,N,"2,540","2,598","2,654","5,444","14,839","13,489","9,237"
손익계산서(IS),투자증권관련손실,526112,N,"2,415",73,34,"6,239","14,562","2,937",279
손익계산서(IS),유무형자산 등 관련손실,526113,N,193,663,600,"16,415","4,070",180,"1,657"
손익계산서(IS),외환관련손실,526159,N,"10,437","17,180","12,047","38,921","22,224","39,522","31,865"
손익계산서(IS),종속/관계회사투자 관련손실,526310,N,23,757,191,106,229,750,"6,246"
손익계산서(IS),파생상품관련손실,526134,N,-,-,-,-,"9,142","1,032","83,660"
손익계산서(IS),기타영업외비용,526135,N,865,"1,006","1,168","1,915","3,446","1,594","2,132"
손익계산서(IS),세전계속사업이익,528000,Y,"24,326","62,370","134,160","40,028","-116,578","238,854","504,656"
손익계산서(IS),법인세비용,528100,N,"4,236","14,781","37,998","17,611","-25,203","40,884","75,177"
손익계산서(IS),계속사업이익,528160,Y,"20,091","47,589","96,162","22,417","-91,375","197,969","429,479"
손익계산서(IS),중단사업이익,528170,N,-,-,-,-,-,-,-
손익계산서(IS),당기순이익,529000,Y,"20,091","47,589","96,162","22,417","-91,375","197,969","429,479"
손익계산서(IS),지배주주지분,529010,N,"20,060","47,551","96,023","22,296","-91,124","197,887","429,193"
손익계산서(IS),비지배주주지분,529020,N,31,38,139,121,-251,82,286
손익계산서(IS),기타포괄손익,529030,N,940,"-1,074","10,713","5,805","1,001","12,475",694
손익계산서(IS),총포괄이익,530100,N,"21,031","46,515","106,875","28,222","-90,375","210,444","430,173"
손익계산서(IS),지배주주지분,530110,N,"20,996","46,499","106,693","28,024","-90,150","210,331","429,844"
손익계산서(IS),비지배주주지분,530120,N,35,17,182,197,-225,113,329
손익계산서(IS),매출원가율(%),292010,N,69.7,66.1,55.9,65.0,101.6,51.9,39.6
손익계산서(IS),판관비부담률(%),292015,N,20.2,18.2,15.2,19.8,22.0,12.6,11.8
손익계산서(IS),EBIT/매출액(%),292025,N,10.1,15.7,28.9,15.3,-23.6,35.5,48.6
손익계산서(IS),EBITDA/매출액(%),292030,N,42.0,46.3,53.7,47.0,18.1,54.5,62.9
손익계산서(IS),세전계속사업이익률(%),292035,N,9.0,19.6,31.2,9.0,-35.6,36.1,51.9
손익계산서(IS),매출액순이익률(%),292040,N,7.4,14.9,22.4,5.0,-27.9,29.9,44.2
손익계산서(IS),총자산순이익률(ROA)(%),292050,N,3.1,7.0,11.5,2.2,-8.9,18.0,29.0
손익계산서(IS),자기자본순이익률(ROE)(%),292060,N,4.2,9.5,16.9,3.6,-15.6,31.1,44.1
손익계산서(IS),EBITDA/금융비용(배),292080,N,44.6,56.9,86.9,38.5,4.0,26.7,66.2
손익계산서(IS),이자보상배율(배),292090,N,10.7,19.3,46.8,12.5,-5.2,17.4,51.1
손익계산서(IS),세후이자보상배율(배),292095,N,8.9,19.3,37.2,5.1,-5.2,15.7,47.5
손익계산서(IS),금융비용/매출액(%),292100,N,0.9,0.8,0.6,1.2,4.5,2.0,1.0
손익계산서(IS),순금융비용/매출액(%),292110,N,0.8,0.7,0.6,1.0,3.9,1.5,0.4
손익계산서(IS),매출액증가율(%),292120,N,-33.3,18.2,34.8,3.8,-26.6,102.0,46.8
현금흐름표(CF),EBITDA,801000,Y,"113,396","147,848","230,688","209,609","59,434","360,489","611,364"
현금흐름표(CF),EBIT,801010,N,"27,192","50,126","124,103","68,094","-77,303","234,673","472,063"
현금흐름표(CF),감가상각비,801020,N,"78,252","88,116","98,626","133,719","131,211","119,853","130,993"
현금흐름표(CF),무형자산상각비,801030,N,"7,952","9,606","7,959","7,796","5,525","5,962","8,308"
현금흐름표(CF),이자지급(-),801120,N,"-2,383","-2,886","-2,409","-4,945","-12,615","-12,766","-9,388"
현금흐름표(CF),이자수취,801121,N,305,406,173,774,"1,989","3,230","3,380"
현금흐름표(CF),배당금수취,801122,N,149,164,847,931,359,507,"9,607"
현금흐름표(CF),법인세납부/환급,801123,N,"-51,532","-3,706","-10,149","-39,794","-13,839","-5,521","-58,912"
현금흐름표(CF),기타손익활동현금흐름,801150,N,-406,"-5,624","2,645","3,475","-2,949","5,251","-1,353"
현금흐름표(CF),손익활동현금흐름(GCF),801200,Y,"59,529","136,202","221,795","170,051","32,378","351,190","554,698"
현금흐름표(CF),운전자금 증감,801220,N,"10,845","-15,572","-34,203","-27,091","7,137","-46,563","-57,797"
현금흐름표(CF),매출채권 등 감소(증가),801221,N,"22,148","-9,353","-25,257","33,420","-14,062","-50,980","-55,842"
현금흐름표(CF),재고자산 감소(증가),801222,N,"-8,517","-8,438","-6,966","-65,721","22,880","1,667","-10,595"
현금흐름표(CF),매입채무 등 증가(감소),801223,N,"-2,785","2,220","-1,980","5,210","-1,681","2,750","8,640"
현금흐름표(CF),기타영업활동현금흐름,801225,N,"-4,877","2,515","10,384","4,846","3,267","-6,668","36,830"
현금흐름표(CF),조정영업현금흐름(OCF),801300,Y,"65,497","123,146","197,976","147,805","42,782","297,959","533,731"
현금흐름표(CF),자본적지출(CAPEX),801400,N,"-145,396","-108,096","-133,785","-194,241","-72,395","-165,958","-284,324"
현금흐름표(CF),유형자산 증가(-),801410,N,"-139,202","-100,687","-124,866","-190,103","-83,251","-159,455","-275,189"
현금흐름표(CF),유형자산 감소,801420,N,538,591,799,"3,237","15,398",471,"1,448"
현금흐름표(CF),무형자산 증감,801430,N,"-6,732","-8,000","-9,718","-7,376","-4,542","-6,974","-10,583"
현금흐름표(CF),잉여현금흐름(FCF),801500,Y,"-79,898","15,050","64,191","-46,436","-29,613","132,001","249,408"
현금흐름표(CF),배당금 지급(-),801600,N,"-10,260","-6,840","-8,050","-16,809","-8,256","-8,263","-16,812"
현금흐름표(CF),처분가능현금흐름(DCF),801700,Y,"-90,158","8,210","56,141","-63,245","-37,869","123,738","232,596"
현금흐름표(CF),비영업자산 투자,801800,N,"40,886","-10,308","-90,053","15,521",-707,"-13,150","-195,568"
현금흐름표(CF),종속/관계회사투자 감소(증가),801805,N,"-1,770","-4,832",-449,"1,691",-139,-33,79
현금흐름표(CF),자기주식 감소(증가),801820,N,0,-,85,117,245,938,650
현금흐름표(CF),기타투자자산 등 감소(증가),801801,N,"42,656","-5,475","-89,689","13,713",-813,"-14,055","-196,298"
현금흐름표(CF),자금조달전현금흐름(PFCF),801900,Y,"-49,272","-2,098","-33,912","-47,725","-38,576","110,588","37,027"
현금흐름표(CF),외부자금 조달,802000,N,"48,627","9,361","52,889","44,910","64,979","-79,714","1,711"
현금흐름표(CF),차입금 증가(감소),802010,N,"52,485","12,517","56,128","47,929","69,685","-73,757","7,676"
현금흐름표(CF),유상증자 증가(감소),802030,N,-,-,0,0,1,0,-
현금흐름표(CF),기타 자금조달 증가(감소),802040,N,"-3,858","-3,157","-3,240","-3,019","-4,707","-5,958","-5,965"
현금흐름표(CF),환율변동효과 등 기타요인,804011,N,213,-563,"1,843","2,005",-300,"5,305","-1,552"
현금흐름표(CF),현금의증가(감소),804000,Y,-432,"6,699","20,820",-810,"26,103","36,178","37,186"
현금흐름표(CF),기초의현금,805000,Y,"23,493","23,061","29,760","50,580","49,770","75,873","112,051"
현금흐름표(CF),기말의현금,806000,Y,"23,061","29,760","50,580","49,770","75,873","112,051","149,238"
현금흐름표(CF),OCF/매출액(%),293001,N,24.3,38.6,46.0,33.1,13.1,45.0,54.9
현금흐름표(CF),FCF/매출액(%),293005,N,-29.6,4.7,14.9,-10.4,-9.0,19.9,25.7
현금흐름표(CF),GCF/총차입금(%),293010,N,48.8,105.6,115.8,68.6,10.0,138.0,224.0
현금흐름표(CF),OCF/총차입금(%),293020,N,53.7,95.5,103.4,59.6,13.2,117.1,215.6
현금흐름표(CF),FCF/총차입금(%),293022,N,-65.5,11.7,33.5,-18.7,-9.1,51.9,100.7
현금흐름표(CF),PFCF/총차입금(%),292023,N,-40.4,-1.6,-17.7,-19.3,-11.9,43.4,15.0
현금흐름표(CF),OCF/단기성차입금(%),292027,N,216.1,355.7,622.0,191.9,40.8,510.2,612.8
현금흐름표(CF),FCF/단기성차입금(%),292029,N,-263.6,43.5,201.7,-60.3,-28.2,226.0,286.4
현금흐름표(CF),총차입금상환소요기간(년),293060,N,-,15.7,3.4,-,-,2.1,1.1
현금흐름표(CF),단기성차입금상환계수(배),293065,N,-2.4,0.5,1.9,-0.5,-0.1,2.0,2.7
현금흐름표(CF),유동성계수(배),293070,N,9.2,5.4,7.1,7.4,1.4,3.7,11.6
